id,year_birth,education,marital_status,income,sex,nationality,zipcode
2139,1975,Master,Married,7500,f,Germany,95946
1371,1976,Graduation,Single,79941,f,GreatBritain,98312
9909,1996,2n Cycle,Married,7500,f,Greece,94172
7286,1968,Graduation,Together,41728,m,Denmark,92499
6566,1954,PhD,Married,72550,m,Spain,95099
8614,1957,Graduation,Widow,65486,f,Austria,92227
4114,1964,Master,Married,79143,f,Hungary,92512
1331,1977,Graduation,Single,35790,f,Portugal,93397
2225,1977,Graduation,Divorced,82582,m,Denmark,92669
9381,1978,Graduation,Married,66373,m,Denmark,99940
6260,1955,Master,Together,82384,f,Portugal,90044
10383,1966,Graduation,Divorced,70287,f,Denmark,94255
7437,1988,Graduation,Single,27938,m,Poland,97601
8375,1968,PhD,Married,55954,m,Poland,93420
6853,1982,Master,Single,75777,f,Poland,99117
3076,1975,Graduation,Together,66653,m,Ireland,93119
1012,1952,Graduation,Single,61823,m,Denmark,99514
6518,1951,PhD,Widow,67680,m,France,93074
4137,1948,Graduation,Together,70666,f,Denmark,99554
8082,1971,Graduation,Married,25721,m,France,97630
1386,1967,Graduation,Together,32474,f,Hungary,99749
9369,1979,2n Cycle,Single,88194,m,Denmark,92599
4477,1958,Graduation,Together,69096,m,Portugal,99231
1357,1970,Graduation,Together,74854,m,Ireland,97530
1402,1954,Master,Married,66991,m,Germany,91296
6312,1959,Graduation,Married,65031,f,Austria,98257
8132,1975,PhD,Married,60631,m,Ireland,90550
1050,1952,Graduation,Married,28332,m,Spain,97588
5846,1977,Graduation,Divorced,40246,m,Poland,91528
1859,1972,Master,Married,75251,m,Spain,97319
7503,1976,Graduation,Single,75825,m,Portugal,90506
10401,1976,2n Cycle,Together,26326,f,Hungary,96139
1618,1965,Graduation,Together,56046,m,Greece,92460
3332,1985,Graduation,Single,29760,f,Portugal,91232
2261,1969,Graduation,Married,26304,f,Greece,91126
5346,1973,2n Cycle,Married,23559,f,France,94414
4119,1963,Master,Together,38620,f,GreatBritain,97154
535,1987,Graduation,Divorced,81361,f,Finland,96417
5268,1960,Graduation,Married,29440,f,Greece,96575
273,1970,Master,Married,36138,m,Finland,90100
4452,1957,Graduation,Single,50388,f,Finland,92736
8504,1973,Graduation,Married,79593,m,Ireland,91278
771,1967,Graduation,Together,54178,f,GreatBritain,97283
11178,1972,Master,Single,42394,m,Hungary,95324
2230,1970,PhD,Married,23626,f,Finland,90333
7516,1983,Graduation,Married,30096,f,Portugal,93493
7247,1960,Graduation,Widow,47916,m,Italy,93546
11100,1972,Graduation,Divorced,51813,f,Hungary,92551
4646,1951,2n Cycle,Married,78497,m,Hungary,96829
3037,1983,PhD,Married,50150,f,Germany,94243
1473,1960,2n Cycle,Single,47823,m,Ireland,92849
1016,1959,PhD,Single,34554,f,France,91658
4518,1979,Graduation,Together,85693,m,Hungary,99411
9370,1945,PhD,Married,65846,m,Germany,98775
8908,1959,Graduation,Married,87195,m,Portugal,91826
8373,1979,Basic,Together,24594,f,Poland,98855
7533,1964,Graduation,Married,49096,m,Portugal,99818
2683,1969,Graduation,Married,52413,m,Austria,95096
3629,1978,Graduation,Single,38557,m,Hungary,91402
10991,1960,Master,Married,89058,f,GreatBritain,96946
5077,1979,Graduation,Together,77298,m,Hungary,95224
7431,1991,PhD,Single,68126,m,Ireland,99000
3267,1963,Master,Together,57288,m,Finland,94955
999,1991,Graduation,Single,86037,m,Germany,93495
9215,1980,PhD,Married,43974,f,Portugal,96503
2286,1962,Graduation,Single,50785,m,Austria,93857
1592,1970,Graduation,Married,90765,m,France,92467
367,1978,2n Cycle,Married,36550,m,Austria,94457
5234,1967,2n Cycle,Together,30753,m,Hungary,91349
9862,1969,Graduation,Together,21918,f,Ireland,95267
9805,1953,Master,Together,56129,m,Poland,96848
6205,1967,Master,Single,32557,f,Greece,97399
8442,1985,Master,Married,19510,m,Hungary,97599
7386,1976,Graduation,Divorced,30992,m,Austria,93394
7215,1983,Graduation,Single,101970,f,Finland,91214
1491,1965,2n Cycle,Together,71488,f,Hungary,98816
11071,1984,Graduation,Single,79607,f,Hungary,91884
3381,1953,Master,Married,54348,m,Austria,98386
11051,1956,PhD,Together,77376,m,France,92698
8026,1952,Graduation,Married,62998,f,Portugal,93683
433,1958,Master,Alone,61331,f,Poland,96011
9597,1969,Graduation,Married,73448,m,GreatBritain,90937
5290,1964,PhD,Married,41551,m,Germany,98244
1685,1967,PhD,Together,62981,f,Ireland,91808
5342,1976,Basic,Divorced,9548,f,Austria,90517
9579,1959,PhD,Married,33762,m,France,93561
7660,1973,PhD,Alone,35860,f,Germany,93370
1461,1965,PhD,Divorced,36921,m,Greece,94198
821,1992,Master,Single,92859,m,Germany,99290
11084,1976,Master,Together,65104,f,Poland,99491
8690,1962,Graduation,Married,86111,f,Ireland,90546
2937,1974,PhD,Single,68352,m,Poland,95714
9701,1988,Graduation,Together,41883,m,Ireland,93573
9949,1976,Graduation,Married,59809,f,GreatBritain,98210
10837,1975,Graduation,Married,23957,m,Finland,99508
3120,1981,Graduation,Together,38547,m,France,94159
5885,1973,2n Cycle,Married,35688,m,Italy,95543
4050,1966,Master,Married,49605,f,Ireland,90973
3830,1953,Master,Married,59354,m,Ireland,90949
7987,1969,Graduation,Married,65747,m,France,96457
7798,1972,2n Cycle,Together,46344,f,GreatBritain,99450
92,1988,Graduation,Alone,34176,m,Portugal,96384
7055,1952,PhD,Together,61010,f,Denmark,97722
10240,1949,Graduation,Together,69372,f,Austria,93788
3025,1958,Graduation,Single,49967,m,Ireland,95722
9283,1978,Graduation,Single,60199,m,Italy,96728
9970,1977,Graduation,Together,55375,f,Austria,98662
2730,1955,Graduation,Single,80317,m,Italy,98357
2795,1958,Master,Single,30523,m,Germany,96742
9260,1945,PhD,Married,70356,f,Spain,91538
8182,1984,Graduation,Married,23228,m,GreatBritain,94210
10095,1975,PhD,Divorced,74165,f,Ireland,92479
8475,1973,PhD,Married,157243,f,Hungary,97989
4370,1966,Graduation,Together,43482,m,France,94908
10573,1953,Graduation,Divorced,62551,m,Denmark,96655
3712,1959,Graduation,Divorced,52332,m,GreatBritain,98917
6637,1988,Graduation,Single,66951,m,Germany,98095
3152,1957,Graduation,Together,26091,m,Ireland,90537
5610,1965,Graduation,Together,33456,f,GreatBritain,90282
6460,1982,Graduation,Married,28718,f,France,99886
1349,1970,Graduation,Married,50447,m,Greece,91151
1880,1959,PhD,Together,53537,f,France,95363
641,1967,Graduation,Single,52074,f,Austria,97141
8717,1975,PhD,Married,80427,f,Greece,93517
10314,1948,PhD,Married,83837,f,Spain,92684
10854,1970,PhD,Married,38853,m,Italy,90791
10492,1959,Graduation,Together,38285,m,Finland,99931
6935,1951,2n Cycle,Married,78497,m,Greece,97100
7698,1976,PhD,Married,51650,m,Poland,95033
3559,1988,2n Cycle,Married,16248,f,Poland,99407
10562,1946,Master,Married,66835,f,Finland,92618
10796,1984,Master,Married,30477,m,Italy,93542
2563,1961,Basic,Married,28249,m,Finland,90355
3518,1983,Graduation,Married,25271,m,GreatBritain,95054
5823,1970,PhD,Single,32303,f,Finland,94130
3934,1966,Graduation,Married,61286,m,Finland,91047
6982,1976,Graduation,Married,74068,f,Finland,92969
6431,1964,PhD,Married,45759,f,Austria,96060
9733,1978,Basic,Together,24882,f,GreatBritain,96849
5602,1989,PhD,Together,66973,m,Poland,98560
7829,1900,2n Cycle,Divorced,36640,f,Greece,98251
1324,1988,Graduation,Married,38872,f,GreatBritain,93161
326,1973,Graduation,Married,51148,f,Austria,90042
7224,1977,Graduation,Married,31353,m,Ireland,95431
6999,1980,Master,Married,69661,f,Hungary,99741
9938,1954,Graduation,Married,80067,m,Denmark,98697
6422,1954,Graduation,Married,86718,f,Portugal,91647
3182,1973,PhD,Single,46854,m,Portugal,93928
7300,1952,Graduation,Divorced,69142,f,Finland,98749
10424,1968,Graduation,Single,75922,m,France,92982
8727,1978,Graduation,Divorced,63693,f,Denmark,99318
2798,1977,PhD,Together,102160,m,Denmark,98887
1030,1965,PhD,Single,40637,m,Spain,92179
624,1984,Master,Single,18890,m,France,92217
5176,1988,Graduation,Together,29604,m,Ireland,97497
5552,1963,Master,Divorced,48721,m,Portugal,95666
868,1966,Graduation,Married,44794,m,Poland,90168
380,1954,Graduation,Divorced,64497,f,Spain,98606
2677,1956,Graduation,Together,46097,f,Denmark,93172
6521,1954,Graduation,Together,77972,m,Italy,90205
6927,1968,PhD,Married,44377,m,Finland,95769
2877,1974,Master,Together,46014,m,France,98554
0,1985,Graduation,Married,70951,m,Poland,96396
1584,1977,Graduation,Married,41443,m,Ireland,96462
7264,1978,2n Cycle,Single,52195,m,GreatBritain,95028
6274,1948,Master,Married,83790,f,GreatBritain,93746
1377,1954,Master,Widow,44551,f,Poland,92168
454,1980,Graduation,Together,69508,m,Spain,94410
1755,1988,2n Cycle,Together,45204,f,Germany,98637
2075,1969,Graduation,Married,72460,f,Greece,99655
4785,1970,PhD,Together,77622,f,Finland,91493
9076,1980,PhD,Married,30732,f,Spain,98173
7079,1962,Graduation,Divorced,63887,m,Germany,95555
4653,1978,Graduation,Together,42011,m,Poland,91354
7375,1976,Graduation,Together,51369,f,Ireland,90278
709,1952,Graduation,Divorced,51537,m,Italy,97605
460,1972,PhD,Married,79930,f,GreatBritain,98035
3726,1986,PhD,Together,34320,f,Greece,94441
6798,1966,Graduation,Single,37070,f,Denmark,92466
5341,1962,2n Cycle,Divorced,81975,f,Italy,96229
1606,1971,Graduation,Together,38590,f,Italy,92612
9617,1951,Graduation,Single,15033,m,France,99925
3233,1965,PhD,Married,62745,f,Portugal,92068
89,1975,2n Cycle,Married,22212,f,Spain,94852
2936,1982,Master,Together,23661,f,Italy,90056
9449,1958,PhD,Single,79761,m,Spain,93043
7297,1973,Graduation,Single,7500,f,Hungary,94657
11004,1893,2n Cycle,Single,60182,f,Ireland,97904
313,1968,Graduation,Widow,73455,m,Denmark,90427
9940,1958,Graduation,Together,64961,f,Spain,93147
10735,1971,Graduation,Single,22804,m,Denmark,96270
9529,1990,Graduation,Married,73687,f,Spain,90602
6439,1958,Graduation,Married,61074,f,Denmark,95397
7411,1964,PhD,Married,31686,m,Italy,98041
2176,1972,Graduation,Married,80134,m,Portugal,93932
9265,1953,Graduation,Married,75027,m,Italy,91516
8867,1988,PhD,Married,67546,f,Portugal,96791
8932,1969,Master,Together,65176,m,Germany,92312
10236,1975,Master,Single,31160,f,Italy,96779
6340,1985,Graduation,Single,29938,f,Spain,90530
10089,1974,Graduation,Divorced,102692,f,Poland,99095
2227,1958,2n Cycle,Together,26490,m,GreatBritain,95433
10992,1967,Graduation,Together,75702,m,Spain,95612
5304,1974,PhD,Single,30899,f,GreatBritain,96099
309,1961,PhD,Together,63342,f,Austria,96241
3406,1964,Graduation,Single,45989,m,Finland,95841
2661,1964,Graduation,Single,18701,m,Austria,99571
3153,1957,PhD,Single,40737,f,Greece,95314
10264,1979,Graduation,Divorced,15287,f,GreatBritain,93908
1184,1968,PhD,Divorced,69674,f,Austria,96753
4200,1970,Master,Married,44159,f,Finland,97489
9396,1978,PhD,Married,37717,m,Austria,97923
2387,1952,Master,Together,43776,m,Italy,92586
6690,1966,Master,Married,38179,f,Italy,90829
1225,1963,Graduation,Married,80124,f,Greece,96755
9703,1970,PhD,Married,38097,f,GreatBritain,92558
291,1970,Graduation,Married,72940,f,Poland,90483
4557,1970,Graduation,Together,22070,m,France,96193
2379,1953,Graduation,Single,69267,m,Ireland,93128
5726,1983,Master,Single,31788,m,Finland,98599
3066,1975,PhD,Together,61905,m,Greece,97922
6336,1960,Graduation,Married,29315,f,Ireland,93206
10967,1963,Graduation,Divorced,33378,m,Spain,94726
2304,1963,PhD,Together,66313,m,Hungary,94416
3445,1956,Graduation,Single,60714,f,Hungary,97553
7828,1981,Master,Together,77882,m,Portugal,97664
3762,1986,PhD,Single,69867,m,Germany,98978
4391,1968,Master,Divorced,63841,m,Poland,94461
4669,1981,Basic,Married,24480,f,Greece,98665
10144,1976,Graduation,Together,51369,m,Ireland,90689
8652,1946,Graduation,Together,37760,m,GreatBritain,97007
1672,1974,PhD,Together,65640,f,Poland,91919
8962,1975,Master,Married,44319,f,Germany,96173
9974,1974,Graduation,Married,30631,m,Ireland,96875
10983,1952,Graduation,Together,75278,f,Germany,94147
8148,1956,Master,Together,50898,m,Denmark,94242
10102,1966,Graduation,Widow,79946,f,Spain,90578
4697,1949,Master,Divorced,35416,f,Poland,95882
9262,1984,2n Cycle,Together,32414,f,Germany,98340
7254,1969,Graduation,Together,38361,f,France,92765
4543,1980,Graduation,Married,82497,f,Denmark,99232
4927,1971,Graduation,Together,16626,m,GreatBritain,99493
10451,1965,Graduation,Together,29672,m,Hungary,99177
2926,1952,Master,Together,55951,f,Ireland,95105
2874,1988,2n Cycle,Divorced,35388,f,Poland,95692
9738,1986,Master,Together,42386,m,Austria,91567
7119,1982,Graduation,Single,68627,m,Denmark,96965
3924,1965,PhD,Divorced,57912,f,Spain,97892
5827,1958,Graduation,Divorced,35246,m,Hungary,98679
5596,1956,2n Cycle,Together,58821,f,Ireland,99152
10812,1978,PhD,Married,46377,f,Greece,93413
1717,1988,Graduation,Single,39747,m,GreatBritain,93400
9491,1984,Graduation,Together,23976,m,GreatBritain,91576
9274,1961,Master,Married,80950,m,Italy,98995
6609,1966,Graduation,Widow,27038,m,Portugal,91441
6963,1947,Graduation,Single,77457,f,Germany,99606
4440,1964,Master,Married,64100,f,France,97374
1379,1992,Master,Together,42670,m,Spain,92139
10032,1976,Graduation,Divorced,12571,f,Finland,96061
2826,1967,Graduation,Married,22574,f,Denmark,98819
6320,1976,Master,Single,70893,f,Poland,90627
3050,1966,Graduation,Married,54198,f,Greece,98462
231,1956,Master,Together,28839,f,Italy,96540
2392,1972,Graduation,Married,40321,m,Greece,96393
9478,1985,Graduation,Single,66503,f,Denmark,91308
113,1951,Graduation,Married,30833,f,Spain,93645
1802,1971,Graduation,Married,64795,m,Italy,93029
520,1974,Graduation,Married,34421,m,Spain,94879
8275,1965,PhD,Divorced,47025,m,Austria,99349
9750,1961,PhD,Divorced,64325,f,Spain,92204
2607,1953,Graduation,Single,40464,f,Denmark,98162
7214,1957,Graduation,Married,62187,f,Portugal,96076
5835,1976,PhD,Divorced,14849,m,Portugal,99774
3896,1984,Graduation,Married,27255,m,Hungary,94153
10350,1950,PhD,Married,54432,m,Italy,94820
7786,1986,PhD,Single,29999,f,Denmark,97408
2861,1983,Graduation,Single,24072,m,Austria,96870
663,1989,PhD,Single,33996,m,Germany,97035
10675,1956,PhD,Married,66334,m,Greece,98741
2521,1971,Master,Married,35178,f,GreatBritain,99277
9592,1983,Graduation,Together,22010,m,GreatBritain,96517
10151,1960,Graduation,Divorced,62204,m,Germany,95477
7381,1968,Graduation,Divorced,75693,f,Hungary,92365
4099,1972,Graduation,Married,30675,m,GreatBritain,95292
9560,1965,Graduation,Together,83003,f,Spain,99979
1150,1899,PhD,Together,83532,f,Finland,91561
10172,1988,Graduation,Single,68655,f,Greece,99306
11191,1986,Graduation,Divorced,41411,m,France,91208
9707,1969,PhD,Married,55212,m,Portugal,96993
6245,1950,PhD,Together,59292,f,Italy,90404
8234,1973,Basic,Together,27190,m,GreatBritain,95646
1411,1952,Graduation,Divorced,82623,m,Finland,92039
8553,1965,Graduation,Married,44300,m,Germany,90979
1826,1970,Graduation,Divorced,84835,f,France,96736
8842,1971,Graduation,Widow,30372,f,France,99970
11030,1976,Master,Married,33181,m,France,95831
2579,1957,Graduation,Married,71113,f,Greece,91776
175,1986,Graduation,Married,71952,f,Austria,91286
9185,1966,PhD,Single,69759,m,Greece,91652
11056,1974,Graduation,Married,72099,f,Germany,98647
9365,1976,PhD,Single,60000,f,Denmark,99509
6201,1978,Graduation,Single,38643,f,Germany,99339
2061,1955,Graduation,Married,50737,m,Denmark,91845
6184,1969,PhD,Married,68462,f,GreatBritain,98830
6142,1943,Master,Married,65073,f,Spain,95801
4107,1948,PhD,Together,46681,f,Poland,94737
7274,1957,Graduation,Married,78618,m,Ireland,96783
9336,1969,PhD,Widow,62187,m,Austria,92151
2958,1978,Graduation,Married,28442,m,France,99237
933,1978,PhD,Married,37717,f,Portugal,99401
5837,1967,Graduation,Married,51479,m,Hungary,94880
10704,1969,Graduation,Single,54803,m,France,94939
5125,1960,Graduation,Married,79530,m,Ireland,95590
4432,1976,Graduation,Divorced,31615,m,France,98957
5955,1962,Graduation,Together,72025,m,Poland,91547
2928,1975,PhD,Single,52614,f,Finland,97076
5680,1984,2n Cycle,Married,35684,m,Finland,93579
10313,1975,Graduation,Married,48178,f,Spain,97348
2557,1970,Master,Single,29548,f,Denmark,99107
1245,1966,Graduation,Single,63810,m,France,98698
1519,1972,PhD,Single,38578,f,France,95425
10703,1975,Master,Single,46098,m,Italy,91006
1726,1970,Graduation,Single,22585,m,Denmark,91214
4459,1989,Graduation,Single,30279,m,France,90149
1729,1961,PhD,Together,66426,m,France,92612
1517,1969,Graduation,Single,30822,f,Ireland,98735
2098,1969,PhD,Married,33581,m,Germany,95129
9543,1985,Graduation,Married,19986,m,France,96527
6878,1954,Graduation,Widow,27421,f,Ireland,96263
3310,1973,2n Cycle,Married,35688,m,Denmark,94231
2724,1981,Master,Single,36143,f,Germany,99426
948,1971,Graduation,Single,10245,m,Finland,90658
6720,1968,Master,Together,43795,f,Poland,95627
6202,1960,Graduation,Together,63381,m,Denmark,97327
2066,1949,Graduation,Together,38823,f,GreatBritain,92734
9799,1968,PhD,Divorced,83664,f,Greece,92553
8318,1979,Graduation,Together,90300,m,Portugal,95168
5642,1979,Master,Together,62499,m,Denmark,96043
2669,1993,Graduation,Single,74293,m,Hungary,99624
455,1946,PhD,Married,51012,f,Germany,93425
7683,1968,Master,Married,70777,m,Spain,94829
3428,1991,PhD,Together,68682,f,GreatBritain,98366
7414,1971,Graduation,Married,43824,m,Portugal,95539
6354,1984,Graduation,Together,15345,m,Hungary,94581
798,1987,Graduation,Single,23442,m,Hungary,91805
8213,1980,2n Cycle,Together,14515,m,Hungary,93620
2488,1956,2n Cycle,Divorced,31395,f,France,99877
9999,1965,Graduation,Together,75276,f,Austria,95292
7617,1974,Graduation,Single,42373,f,Portugal,97321
615,1960,Graduation,Together,30507,m,Finland,96991
2552,1955,PhD,Single,55521,m,Denmark,90921
194,1965,Graduation,Married,48006,f,Germany,97220
3645,1972,PhD,Single,27213,f,GreatBritain,91453
8890,1971,PhD,Divorced,65808,f,Italy,90608
5049,1974,PhD,Together,30351,m,Greece,92018
9973,1963,Graduation,Married,50437,f,Germany,91818
7301,1982,2n Cycle,Single,23616,f,Denmark,91008
10882,1976,Graduation,Married,53858,m,Poland,95285
7030,1955,PhD,Married,66465,f,Portugal,98721
7422,1987,Graduation,Single,46923,f,GreatBritain,99519
3523,1962,Graduation,Together,75072,f,Portugal,98574
7106,1943,PhD,Married,75865,m,Poland,97014
6504,1975,2n Cycle,Together,19789,f,GreatBritain,91473
5067,1994,Graduation,Together,80134,f,GreatBritain,97188
4216,1981,Graduation,Single,91065,f,Italy,93915
8581,1971,Master,Married,49505,m,GreatBritain,91712
5929,1973,PhD,Married,37401,f,Ireland,92928
3129,1983,Graduation,Married,30096,f,Italy,99497
6528,1982,Master,Together,18492,m,Greece,92333
1361,1974,Master,Married,82584,m,Hungary,93913
6932,1941,PhD,Married,93027,f,Ireland,93379
7284,1953,Graduation,Married,48686,f,Austria,93820
1340,1986,Graduation,Married,92910,m,Hungary,98861
8746,1989,Graduation,Married,75433,f,Ireland,95971
5987,1989,2n Cycle,Together,10404,f,Austria,90526
3767,1968,Graduation,Married,61314,f,Hungary,92429
3725,1961,PhD,Single,84865,f,Poland,97366
4324,1989,Graduation,Married,42387,f,France,99017
238,1967,2n Cycle,Together,67309,m,Portugal,97063
6694,1964,Graduation,Married,75236,f,France,93548
498,1970,Graduation,Single,30015,m,Hungary,92293
9347,1956,Master,Together,50943,f,Finland,91129
9699,1966,Graduation,Divorced,67272,f,Hungary,95145
10664,1949,Master,Widow,51529,m,Poland,98436
5455,1971,PhD,Married,32011,f,Poland,95542
456,1986,2n Cycle,Married,7500,m,Finland,91783
5012,1989,Graduation,Married,28691,m,Greece,92689
7495,1948,PhD,Married,56223,f,Ireland,99029
5029,1946,Graduation,Married,18100,m,Austria,97723
10642,1989,Graduation,Single,30279,m,Denmark,97465
2106,1974,2n Cycle,Married,20130,f,Germany,94886
10364,1959,Graduation,Divorced,23295,m,Spain,98486
5954,1972,Master,Divorced,42618,m,GreatBritain,97618
1137,1964,Graduation,Single,81246,m,Austria,92839
2541,1976,Graduation,Married,24027,f,Ireland,92422
1142,1953,PhD,Married,55707,m,Italy,93171
2276,1955,Graduation,Single,57959,m,Spain,99902
2807,1969,Graduation,Married,56796,f,Italy,99751
6471,1971,Master,Single,36230,f,Germany,92058
6131,1980,2n Cycle,Married,70829,m,GreatBritain,93817
6233,1976,Graduation,Married,65991,f,Finland,98230
4148,1972,Graduation,Married,38988,m,Germany,92180
4947,1966,2n Cycle,Single,89572,f,Greece,95171
3225,1984,Master,Married,42207,f,Finland,91197
7540,1952,Graduation,Married,50300,m,GreatBritain,90586
10648,1982,2n Cycle,Together,66664,f,Ireland,94700
1992,1964,Graduation,Married,60597,m,France,99567
7851,1949,Graduation,Widow,70165,m,Greece,95965
8594,1958,PhD,Widow,50520,f,Spain,90229
7059,1963,Graduation,Married,80124,m,Italy,93345
2815,1975,Graduation,Married,33183,m,GreatBritain,95828
2416,1969,PhD,Single,66582,m,Spain,97421
7999,1955,PhD,Together,75261,f,Poland,93897
9213,1970,Graduation,Widow,31880,m,Portugal,97860
9697,1951,Graduation,Married,53790,m,Ireland,93655
3916,1971,PhD,Together,49269,f,Portugal,90030
2021,1975,Graduation,Married,61456,m,Denmark,98588
1581,1980,Graduation,Married,37406,f,Hungary,90170
564,1981,PhD,Together,56937,m,France,95983
6619,1978,Graduation,Married,38415,m,Italy,99408
9081,1988,Graduation,Single,20518,m,Spain,93638
178,1956,Graduation,Married,62503,f,Germany,96044
916,1972,PhD,Single,41644,f,GreatBritain,98597
5512,1977,Master,Married,55842,m,Italy,94838
8970,1972,PhD,Married,62010,m,Spain,94067
10581,1977,Graduation,Married,41124,m,Portugal,96042
5300,1973,Master,Married,38961,f,Hungary,90210
5154,1972,Master,Divorced,37760,m,Denmark,95880
8346,1974,Graduation,Single,32233,m,GreatBritain,92654
1676,1975,Graduation,Married,43057,f,Portugal,98318
9286,1960,Master,Together,83151,f,Denmark,97562
2426,1964,PhD,Divorced,78825,m,Finland,98185
5172,1976,Master,Together,65104,f,Greece,99421
5562,1974,Graduation,Married,60093,m,Germany,99308
3436,1969,Graduation,Married,14045,f,GreatBritain,98612
3921,1952,2n Cycle,Widow,28457,f,Hungary,93442
3403,1958,PhD,Together,78952,m,Spain,91599
22,1976,Graduation,Divorced,46310,m,Portugal,98813
10965,1955,Graduation,Together,76005,m,Poland,93172
9426,1964,Master,Single,58308,f,Denmark,95179
6605,1944,PhD,Divorced,55614,m,Austria,95470
3136,1962,Master,Divorced,59432,f,France,97266
8737,1978,Graduation,Divorced,55563,f,GreatBritain,99931
11088,1971,PhD,Together,78642,m,Portugal,93022
716,1949,PhD,Together,67911,m,Spain,97842
466,1944,Graduation,Married,65275,m,Hungary,94070
9135,1950,Graduation,Together,27203,m,Austria,90012
10623,1961,Master,Together,48330,m,Spain,96142
8151,1990,Basic,Married,24279,f,Denmark,92673
5140,1985,PhD,Married,64355,m,GreatBritain,99727
10160,1956,Master,Together,50943,m,Austria,94928
4945,1953,Graduation,Widow,53653,f,Finland,90541
10584,1976,Graduation,Married,65665,m,Spain,92144
6071,1989,Graduation,Single,81217,f,Greece,91426
3386,1992,Graduation,Married,34935,m,Denmark,92892
8939,1959,Graduation,Divorced,61250,f,Germany,93045
9925,1981,PhD,Together,39665,m,Portugal,97632
4320,1979,Graduation,Single,60152,m,GreatBritain,95301
5389,1964,Graduation,Married,48920,m,Finland,96572
6036,1959,Master,Together,89120,f,France,98806
182,1946,PhD,Together,44124,m,France,94835
203,1975,Master,Single,81169,f,Denmark,93419
11025,1961,Graduation,Married,36443,f,Denmark,99885
10203,1990,Graduation,Single,26095,f,Italy,95430
4607,1959,Graduation,Together,71367,f,GreatBritain,94794
3711,1944,Master,Married,80184,m,Germany,99002
3696,1965,Graduation,Divorced,30630,f,Finland,96090
2532,1987,Master,Single,73454,f,Denmark,98052
9214,1991,Graduation,Married,42691,f,France,96085
4943,1953,Graduation,Married,70503,f,Ireland,92247
35,1987,Graduation,Married,25545,m,GreatBritain,97709
2258,1986,Graduation,Married,32880,m,Austria,98768
4322,1958,PhD,Together,77863,m,GreatBritain,90088
713,1977,Master,Married,50353,m,Hungary,99516
4702,1964,Graduation,Single,61839,m,Italy,91948
3281,1960,PhD,Married,49154,f,Poland,99730
702,1975,2n Cycle,Widow,47682,m,Finland,92921
2004,1969,Graduation,Single,72679,f,Ireland,92645
4769,1977,Master,Together,57954,f,Portugal,98533
4437,1962,Graduation,Married,65316,m,Ireland,93783
8724,1982,Graduation,Single,28567,f,Germany,94663
10741,1951,Master,Together,47352,m,Portugal,99743
1991,1967,Graduation,Together,44931,f,France,90861
6931,1967,Graduation,Divorced,76982,f,Denmark,94508
11096,1952,2n Cycle,Together,57247,m,Hungary,92897
304,1981,Master,Single,22944,f,Italy,90318
3665,1977,2n Cycle,Together,25315,m,Hungary,98886
10591,1969,Graduation,Widow,43638,f,GreatBritain,96367
5036,1984,PhD,Single,42710,m,Italy,98408
5547,1982,PhD,Married,84169,m,Italy,99745
7822,1976,Graduation,Together,54058,f,Germany,92176
